T_MeV,sigma_GeV3,mq_GeV,uv_residual,ir_residual
148.0,0.09471435716308442,0.055,-2.1827872842550278e-11,9.614087304044006e-12
149.0,0.09429575037380196,0.055,3.637978807091713e-11,-1.216249323476859e-11
150.0,0.09386551875460913,0.055,7.275957614183426e-12,9.173106718662893e-12
151.0,0.09342327645992791,0.055,2.1827872842550278e-11,1.6852075290785251e-12
152.0,0.09296861679933402,0.055,0.0,1.3907208717967023e-11
153.0,0.09250111039344959,0.055,7.275957614183426e-12,5.7237548034549945e-12
154.0,0.09202030330945503,0.055,3.637978807091713e-12,-1.1740053373898718e-11
155.0,0.09152571521769047,0.055,-1.8189894035458565e-11,-1.0033196495840002e-11
156.0,0.09101683687500246,0.055,-1.8189894035458565e-11,-4.775513318122648e-12
157.0,0.09049312770790961,0.055,-2.9103830456733704e-11,1.230726631717971e-11
158.0,0.0899540130350027,0.055,-2.1827872842550278e-11,2.8377300509419e-12
159.0,0.08939888073017123,0.055,3.637978807091713e-12,8.260503392421015e-12
160.0,0.08882707774676513,0.055,-7.275957614183426e-12,-6.230682636498841e-12
161.0,0.0882379063484835,0.055,-3.637978807091713e-12,-1.1957879131330174e-11
162.0,0.08763061913030881,0.055,-1.8189894035458565e-11,1.777711311490293e-11
163.0,0.08700441393309755,0.055,-7.275957614183426e-12,9.767298081442277e-12
164.0,0.08635842855016648,0.055,-7.275957614183426e-12,6.334377466998831e-12
165.0,0.08569173328682317,0.055,1.4551915228366852e-11,-1.4673817716470694e-12
166.0,0.08500332355775256,0.055,2.1827872842550278e-11,-1.0167866548727034e-11
167.0,0.08429211114002362,0.055,-4.729372449219227e-11,-1.1189937865196953e-12
168.0,0.08355691378812383,0.055,0.0,4.3365311341858614e-13
169.0,0.08279644302746214,0.055,7.275957614183426e-12,5.788480805790641e-12
170.0,0.08200929031671048,0.055,-3.637978807091713e-12,5.375921929839933e-12
171.0,0.0811939108038429,0.055,-3.637978807091713e-12,-3.2152058793144533e-12
171.99999999999997,0.08034860329833617,0.055,-3.637978807091713e-12,4.621858451514527e-13
172.99999999999997,0.07947148721516488,0.055,2.546585164964199e-11,1.469702137768536e-11
173.99999999999997,0.07856047462957595,0.055,-1.4551915228366852e-11,-2.4860113967406505e-12
174.99999999999997,0.07761323640330288,0.055,0.0,-3.5560443478743764e-12
176.0,0.07662716083904753,0.055,-4.729372449219227e-11,1.2176926134088717e-12
177.0,0.07559930318978199,0.055,1.4551915228366852e-11,2.180811087271195e-12
178.0,0.0745263223956132,0.055,-7.275957614183426e-12,1.0639156222680413e-11
179.0,0.07340440247271487,0.055,1.0913936421275139e-11,6.037059741004214e-12
180.0,0.0722291512830287,0.055,-5.4569682106375694e-12,-1.1721956738597328e-11
181.0,0.07099547249429713,0.055,0.0,4.790279284350163e-12
182.0,0.06969739660764547,0.055,-1.8189894035458565e-12,1.428523965785189e-12
183.0,0.06832785819700217,0.055,0.0,1.0178968778973285e-11
184.0,0.06687839542242129,0.055,5.4569682106375694e-12,1.3702150525318757e-11
185.0,0.06533873773117467,0.055,-1.4551915228366852e-11,1.3255396780209594e-11
186.0,0.06369622547494078,0.055,1.8189894035458565e-12,8.5131901528257e-12
187.0,0.06193497689718128,0.055,3.637978807091713e-12,3.132172299302738e-11
188.0,0.06003465362229262,0.055,9.094947017729282e-12,3.9973246934721374e-11
