source,T_MeV,sigma_GeV3,free_energy,residual_norm
bk_s_curve,98.47486107382093,-0.015924410632903417,-0.0023716977852811837,2.149780353732922e-12
bk_s_curve,98.3083588697991,-0.01594352958712671,-0.0023906645226422136,1.920685832601521e-12
bk_s_curve,98.1427338937895,-0.01596242543185491,-0.0024095884703236635,1.2591594433786213e-12
bk_s_curve,97.97797944108957,-0.01598110123382902,-0.0024284685673944075,2.72032396608779e-13
bk_s_curve,97.81408886143244,-0.015999560010723956,-0.002447303771392416,2.920774733183862e-12
bk_s_curve,97.65105555880905,-0.01601780473202059,-0.0024660930581944197,5.388411938866966e-12
bk_s_curve,97.48887299127841,-0.016035838319862036,-0.0024848354218838125,2.53122522941851e-12
bk_s_curve,97.32753467077139,-0.016053663649896487,-0.002503529874619867,8.022194020185225e-13
bk_s_curve,97.16703416287251,-0.016071283552099535,-0.00252217544650363,4.956313137682855e-13
bk_s_curve,97.00736508660475,-0.016088700811587274,-0.002540771185445977,3.969380379942322e-12
bk_s_curve,96.84852111419146,-0.01610591816940886,-0.002559316157032152,2.708111512816913e-12
bk_s_curve,96.69049597081649,-0.016122938323327195,-0.0025778094443883286,2.221361983245629e-12
bk_s_curve,96.53328343437545,-0.016139763928586032,-0.0025962501480464475,6.134814878322459e-13
bk_s_curve,96.37687733521115,-0.016156397598658508,-0.0026146373858081137,1.506461622113875e-12
bk_s_curve,96.2212715558505,-0.01617284190598692,-0.0026329702926094307,1.139061067689795e-12
bk_s_curve,96.06646003072755,-0.0161890993827052,-0.002651248020384545,1.7785495298738851e-12
bk_s_curve,95.91243674590051,-0.016205172521348784,-0.002669469737929318,1.1685930001448241e-12
bk_s_curve,95.75919573876548,-0.016221063775552748,-0.0026876346307645868,6.066536162308012e-12
bk_s_curve,95.60673109775719,-0.016236775560733798,-0.0027057419009987715,5.085654120051686e-12
bk_s_curve,95.45503696204916,-0.016252310254761634,-0.0027237907671905986,8.346656699131927e-13
bk_s_curve,95.30410752125077,-0.01626767019861977,-0.002741780464213039,5.932393465357677e-12
bk_s_curve,95.15393701508984,-0.016282857697048687,-0.0027597102431144564,1.7111589922791381e-12
bk_s_curve,95.0045197330981,-0.016297875019181125,-0.002777579370981215,3.660127756432985e-12
bk_s_curve,94.85585001429128,-0.01631272439916478,-0.002795387130800744,1.7312540290248535e-12
bk_s_curve,94.70792224684263,-0.016327408036772663,-0.0028131328213236283,1.9747259383251503e-12
bk_s_curve,94.56073086775231,-0.016341928098001387,-0.002830815756924843,5.331068919645077e-12
