T_MeV,stable_sigma_GeV3,stable_free_energy,candidate_count,sigma_branch1_GeV3,free_energy_branch1,sigma_branch2_GeV3,free_energy_branch2,sigma_branch3_GeV3,free_energy_branch3,sigma_branch4_GeV3,free_energy_branch4,sigma_branch5_GeV3,free_energy_branch5,sigma_branch6_GeV3,free_energy_branch6,sigma_branch7_GeV3,free_energy_branch7,sigma_branch8_GeV3,free_energy_branch8,sigma_branch9_GeV3,free_energy_branch9
171.0,0.061144313620582626,-0.0010623372787706437,2.0,-2.2876170618642302e-237,0.0,-4.453591596535164e-235,0.0,1.1309383134549124e-237,0.0,-2.9859254545e-314,0.0,0.0,0.0,7.133375284e-314,0.0,-6.20756739566576e-236,0.0,0.06114431362057977,-0.001062337278769859,0.061144313620582626,-0.0010623372787706437
171.99999999999997,0.059436691380501755,-0.0007020262051294826,2.0,-3.682740079673342e-251,0.0,1.726164818210271e-247,0.0,-6.890900252172283e-251,0.0,7.2401953375e-314,0.0,0.0,0.0,1.0132516044e-314,0.0,7.240950391704121e-249,0.0,0.059436691380501866,-0.0007020262051292282,0.059436691380501755,-0.0007020262051294826
172.99999999999997,0.05752302293205365,-0.0003621408343232203,2.0,-7.922072876953488e-264,0.0,-2.8491090026728956e-260,0.0,-4.219615532381463e-263,0.0,1.1558910945e-314,0.0,0.0,0.0,-2.4154503866e-314,0.0,-4.356865582224732e-263,0.0,0.057523022932050395,-0.0003621408343228234,0.05752302293205365,-0.0003621408343232203
173.99999999999997,0.05532433106419491,-4.4297341305754844e-5,2.0,-7.968317568780618e-276,0.0,-1.3863704120178231e-272,0.0,-6.766846669821985e-275,0.0,-2.7992486607e-314,0.0,0.0,0.0,5.8668568185e-314,0.0,-3.0379687001152754e-274,0.0,0.05532433106419262,-4.429734130553963e-5,0.05532433106419491,-4.4297341305754844e-5
174.99999999999997,0.0,0.0,2.0,8.3587532119529e-288,0.0,1.3848046215418202e-284,0.0,7.217224620628417e-287,0.0,6.760193635e-314,0.0,0.0,0.0,5.1700668693e-314,0.0,3.051973167696769e-286,0.0,0.05268978673535901,0.0002490999034249085,0.05268978673534212,0.0002490999034262346
176.0,0.0,0.0,2.0,4.5836698336970515e-300,0.0,4.542268944876562e-297,0.0,3.368605932809996e-299,0.0,3.209297797e-314,0.0,0.0,0.0,7.0724229583e-314,0.0,1.653252299789631e-298,0.0,0.04924487033915144,0.0005139476659104876,0.049244870339139296,0.0005139476659111496
177.0,-1.983585540143825e-309,0.0,2.0,-1.848588305783e-312,0.0,-1.983585540143825e-309,0.0,-1.7379546204533e-311,0.0,-7.7612239065e-314,0.0,0.0,0.0,2.9039917343e-314,0.0,-8.0460862058015e-311,0.0,0.042706583425292745,0.0007401091097246596,0.0427065834252838,0.0007401091097247581
178.0,-1.2016217570276215e-10,-8.71891503895423e-23,1.0,-5.872047102e-314,0.0,-8.7464497513e-314,0.0,3.041339124e-314,0.0,-1.436726348e-314,0.0,0.0,0.0,-7.0851848315e-314,0.0,-1.9962457873e-314,0.0,-1.2016217024903875e-10,-8.718914108196089e-23,-1.2016217570276215e-10,-8.71891503895423e-23
179.0,-7.349790102484781e-19,-3.242859172266023e-39,1.0,-6.4678647036e-314,0.0,5.875095887e-315,0.0,-7.347877342e-314,0.0,3.390026335e-314,0.0,0.0,0.0,-3.4418629715e-314,0.0,4.905939179e-314,0.0,-7.349776721016875e-19,-3.242469441547053e-39,-7.349790102484781e-19,-3.242859172266023e-39
180.0,1.3978151815721084e-31,-8.039055700713187e-64,1.0,-5.2718404907e-314,0.0,-1.5479857026e-314,0.0,-3.150492881e-314,0.0,-8.191305478e-314,0.0,0.0,0.0,8.3229417107e-314,0.0,9.187861046e-314,0.0,1.316403967700326e-31,-7.730338974768371e-64,1.3978151815721084e-31,-8.039055700713187e-64
181.0,-8.6776191935e-314,0.0,1.0,-8.6776191935e-314,0.0,3.7830261817e-314,0.0,7.6087955274e-314,0.0,-1.4475860145e-314,0.0,0.0,0.0,1.285015745e-314,0.0,-1.0011760783e-314,0.0,-9.321720131150335e-45,1.0521591170248469e-89,-1.1629955592197086e-44,9.279007575388632e-91
182.0,7.1622719850388e-58,-4.0024867278289976e-117,1.0,-6.886694324e-315,0.0,-9.2126787046e-314,0.0,3.220465601e-314,0.0,3.41267997e-314,0.0,0.0,0.0,-3.140433954e-314,0.0,2.5290174533e-314,0.0,2.661738327964276e-57,1.7951198337415896e-115,7.1622719850388e-58,-4.0024867278289976e-117
183.0,-1.989924663324945e-70,-6.451867411866137e-142,1.0,1.739213775e-314,0.0,2.50622839e-315,0.0,-7.761359833e-314,0.0,-8.2395489143e-314,0.0,0.0,0.0,7.6149113373e-314,0.0,-6.1436646484e-314,0.0,-1.2712748743053283e-69,9.416845563322129e-141,-1.989924663324945e-70,-6.451867411866137e-142
184.0,-2.2431105650710463e-82,-1.4525409216192343e-165,1.0,-4.352405765e-314,0.0,-5.72312955e-315,0.0,-3.6043980014e-314,0.0,-2.422193364e-314,0.0,0.0,0.0,4.0878049843e-314,0.0,-7.593288923e-314,0.0,-2.2431105650710463e-82,-1.4525409216192343e-165,8.455518198001194e-83,1.5695027618567102e-166
